,0,,,1,,,2,,,3,,,4,,,5,,,6,,,7,,,8,,,9,,,10,,,11,,,12,,
part_id,start_time,process_time,process,start_time,process_time,process,start_time,process_time,process,start_time,process_time,process,start_time,process_time,process,start_time,process_time,process,start_time,process_time,process,start_time,process_time,process,start_time,process_time,process,start_time,process_time,process,start_time,process_time,process,start_time,process_time,process,start_time,process_time,process
U612 S15S,72,1,HF010,79,1,HF020,94,1,HF031,112,13,HA011,122,23,HA031,140,13,HA021,144,6,FB011,154,10,HA041,168,5,FB021,183,8,PB011,203,1,PS023,204,1,HL023,,,Sink
U613 F41S,72,1,HF010,79,1,HF020,94,1,HF031,114,15,HA011,128,16,HA031,135,11,HA021,143,2,FB011,149,16,HA041,171,5,FB021,184,6,PB011,193,1,PS023,196,1,HL023,,,Sink
U612 E23P,72,1,HF010,79,1,HF020,94,1,HF031,107,5,HA021,120,8,HA041,133,2,FB021,135,1,HL011,,,Sink,,,,,,,,,,,,,,,
U612 A21S,72,1,HF010,79,1,HF020,94,1,HF031,107,10,HA011,122,14,HA031,129,22,HA021,143,2,FB011,149,12,HA041,165,4,FB021,172,1,HL011,,,Sink,,,,,,
U612 E22S,72,1,HF010,79,1,HF020,94,1,HF031,114,5,HA021,123,8,HA041,135,2,FB021,140,1,HL011,,,Sink,,,,,,,,,,,,,,,
U612 B16P,72,1,HF010,79,1,HF020,94,1,HF031,112,5,HA011,120,8,HA031,126,5,HA021,134,9,HA041,149,2,FB021,156,1,HL011,,,Sink,,,,,,,,,
U611 L12C,72,1,HF010,79,1,HF020,94,1,HF031,109,6,HA021,120,8,HA041,130,2,FB021,154,2,PS023,156,1,HL023,,,Sink,,,,,,,,,,,,
U611 B59S,72,1,HF010,79,1,HF020,94,1,HF031,109,6,HA011,120,12,HA031,133,7,HA021,141,14,HA041,163,3,FB021,170,7,PB011,191,1,HL034,,,Sink,,,,,,
U611 D13S,72,1,HF010,79,1,HF020,94,1,HF031,112,5,HA011,120,7,HA031,122,11,HA021,130,1,FB011,134,8,HA041,148,4,FB021,158,6,PB011,172,1,PS023,175,1,HL023,,,Sink
U611 E91C,72,1,HF010,79,1,HF020,94,1,HF031,108,5,HA011,120,10,HA031,127,11,HA021,134,2,FB011,137,10,HA041,155,8,FB021,169,6,PB011,185,1,PS023,,,Sink,,,
U612 E51S,73,1,HF010,80,1,HF020,95,1,HF031,112,14,HA011,128,9,HA031,130,14,HA021,137,6,FB011,144,14,HA041,165,8,FB021,182,6,PB011,199,1,PS023,200,1,HL023,,,Sink
U612 E52P,73,1,HF010,80,1,HF020,95,1,HF031,106,12,HA011,121,12,HA031,129,14,HA021,137,2,FB011,143,10,HA041,158,7,FB021,182,6,PB011,199,1,PS023,200,1,HL023,,,Sink
U612 B52S,73,1,HF010,80,1,HF020,95,1,HF031,116,6,HA011,127,12,HA031,136,12,HA021,144,2,FB011,150,14,HA041,170,3,FB021,177,7,PB011,196,1,HL023,,,Sink,,,
U611 B18P,73,1,HF010,80,1,HF020,95,1,HF031,120,5,HA011,128,8,HA031,134,5,HA021,143,9,HA041,157,3,FB021,163,1,HL011,,,Sink,,,,,,,,,
U612 E22P,73,1,HF010,80,1,HF020,95,1,HF031,114,5,HA021,123,8,HA041,135,2,FB021,140,1,HL011,,,Sink,,,,,,,,,,,,,,,
U613 E31P,74,1,HF010,84,1,HF020,98,1,HF031,112,15,HA011,126,16,HA031,134,13,HA021,143,2,FB011,149,11,HA041,164,7,FB021,182,5,PB011,219,1,PS023,220,1,HL023,,,Sink
U612 B52P,74,1,HF010,84,1,HF020,98,1,HF031,113,6,HA011,122,12,HA031,133,9,HA021,140,2,FB011,144,14,HA041,165,3,FB021,172,7,PB011,193,1,HL023,,,Sink,,,
U611 B19P,74,1,HF010,84,1,HF020,98,1,HF031,121,5,HA011,129,8,HA031,135,5,HA021,144,9,HA041,158,3,FB021,163,1,HL011,,,Sink,,,,,,,,,
U611 L13C,74,1,HF010,84,1,HF020,98,1,HF031,113,6,HA021,122,8,HA041,134,2,FB021,154,2,PS023,156,1,HL023,,,Sink,,,,,,,,,,,,
U612 B17S,74,1,HF010,84,1,HF020,98,1,HF031,115,5,HA011,123,8,HA031,133,3,HA021,137,9,HA041,154,3,FB021,157,1,HL011,,,Sink,,,,,,,,,
U612 B17P,74,1,HF010,84,1,HF020,98,1,HF031,114,5,HA011,122,8,HA031,128,5,HA021,136,9,HA041,151,3,FB021,157,1,HL011,,,Sink,,,,,,,,,
U611 T14S,74,1,HF010,84,1,HF020,98,1,HF031,114,6,HA021,123,8,HA041,135,3,FB021,161,1,PS023,162,1,HL023,,,Sink,,,,,,,,,,,,
U611 T14P,74,1,HF010,84,1,HF020,98,1,HF031,113,6,HA021,122,8,HA041,134,3,FB021,155,3,FB031,161,1,PS023,162,1,HL023,,,Sink,,,,,,,,,
U612 E51P,74,1,HF010,84,1,HF020,98,1,HF031,105,14,HA011,123,8,HA031,127,14,HA021,134,4,FB011,140,14,HA041,162,7,FB021,179,6,PB011,199,1,PS023,200,1,HL023,,,Sink
U613 E31S,74,1,HF010,84,1,HF020,98,1,HF031,108,15,HA011,122,18,HA031,130,14,HA021,140,2,FB011,144,11,HA041,164,7,FB021,179,6,PB011,219,1,PS023,220,1,HL023,,,Sink
U611 B18S,77,1,HF010,85,1,HF020,99,1,HF031,115,5,HA011,123,8,HA031,133,3,HA021,137,9,HA041,154,3,FB021,158,1,HL011,,,Sink,,,,,,,,,
U611 L14C,77,1,HF010,85,1,HF020,99,1,HF031,114,6,HA021,123,8,HA041,135,2,FB021,158,2,PS023,162,1,HL023,,,Sink,,,,,,,,,,,,
U611 T15P,77,1,HF010,85,1,HF020,99,1,HF031,114,6,HA021,123,8,HA041,135,3,FB021,155,3,FB031,161,1,PS023,162,1,HL023,,,Sink,,,,,,,,,
U613 E41S,78,1,HF010,86,1,HF020,100,1,HF031,112,16,HA011,126,19,HA031,134,15,HA021,141,6,FB011,149,10,HA041,164,8,FB021,183,7,PB011,217,1,PS023,218,1,HL023,,,Sink
U613 E41P,78,1,HF010,86,1,HF020,100,1,HF031,115,16,HA011,130,18,HA031,136,21,HA021,137,21,FB011,155,10,HA041,169,8,FB021,190,5,PB011,217,1,PS023,218,1,HL023,,,Sink
U611 D14S,78,1,HF010,86,1,HF020,100,1,HF031,116,5,HA011,126,7,HA031,128,11,HA021,137,1,FB011,140,8,HA041,154,4,FB021,162,6,PB011,176,1,PS023,177,1,HL023,,,Sink
U612 S16P,78,1,HF010,86,1,HF020,100,1,HF031,114,13,HA011,126,21,HA031,144,11,HA021,151,2,FB011,156,10,HA041,170,4,FB021,184,8,PB011,204,1,PS023,205,1,HL023,,,Sink
U611 B19S,78,1,HF010,86,1,HF020,100,1,HF031,116,5,HA011,126,8,HA031,134,3,HA021,140,9,HA041,155,3,FB021,158,1,HL011,,,Sink,,,,,,,,,
U613 H31C,78,1,HF010,86,1,HF020,100,1,HF031,114,5,HA031,121,15,FB021,143,9,PB011,157,1,HL023,,,Sink,,,,,,,,,,,,,,,
U611 F11C,78,1,HF010,86,1,HF020,100,1,HF031,116,5,HA011,126,7,HA031,127,14,HA021,135,2,FB011,140,16,HA041,164,4,FB021,176,7,PB011,196,1,PS023,197,1,HL034,,,Sink
U611 T17P,78,1,HF010,86,1,HF020,100,1,HF031,115,6,HA021,126,8,HA041,136,3,FB021,157,3,FB031,163,1,PS023,164,1,HL023,,,Sink,,,,,,,,,
U612 B11C,78,1,HF010,86,1,HF020,100,1,HF031,116,5,HA011,126,8,HA031,133,5,HA021,141,11,HA041,158,3,FB021,165,7,PB011,186,1,HL023,,,Sink,,,,,,
U611 D14P,78,1,HF010,86,1,HF020,100,1,HF031,119,5,HA011,127,7,HA031,129,11,HA021,140,1,FB011,141,8,HA041,155,4,FB021,163,6,PB011,176,1,PS023,177,1,HL023,,,Sink
U611 L15C,78,1,HF010,86,1,HF020,100,1,HF031,115,6,HA021,126,8,HA041,136,2,FB021,158,2,PS023,162,1,HL023,,,Sink,,,,,,,,,,,,
U611 D15S,79,1,HF010,87,1,HF020,101,1,HF031,119,5,HA011,127,7,HA031,129,11,HA021,140,1,FB011,141,8,HA041,155,4,FB021,163,6,PB011,176,1,PS023,177,1,HL023,,,Sink
U611 D15P,79,1,HF010,87,1,HF020,101,1,HF031,120,5,HA011,128,7,HA031,130,11,HA021,140,1,FB011,143,8,HA041,156,4,FB021,164,6,PB011,176,1,PS023,177,1,HL023,,,Sink
U613 S18P,79,1,HF010,87,1,HF020,101,1,HF031,116,13,HA011,129,14,HA031,136,10,HA021,143,1,FB011,148,13,HA041,165,4,FB021,177,8,PB011,197,1,PS023,198,1,HL023,,,Sink
U613 S18S,79,1,HF010,87,1,HF020,101,1,HF031,116,13,HA011,127,15,HA031,134,7,HA021,137,5,FB011,143,13,HA041,163,4,FB021,175,8,PB011,192,1,PS023,193,1,HL023,,,Sink
U613 E32P,79,1,HF010,87,1,HF020,101,1,HF031,115,6,HA011,127,12,HA031,135,15,HA021,144,2,FB011,150,11,HA041,165,7,FB021,182,5,PB011,219,1,PS023,220,1,HL023,,,Sink
U613 E42S,79,1,HF010,87,1,HF020,101,1,HF031,109,16,HA011,127,15,HA031,134,17,HA021,144,2,FB011,150,10,HA041,165,8,FB021,185,6,PB011,217,1,PS023,218,1,HL023,,,Sink
U612 S16S,79,1,HF010,87,1,HF020,101,1,HF031,119,13,HA011,129,23,HA031,150,10,HA021,156,2,FB011,161,10,HA041,175,4,FB021,189,8,PB011,206,1,PS023,207,1,HL023,,,Sink
U613 E42P,79,1,HF010,87,1,HF020,101,1,HF031,116,16,HA011,133,16,HA031,137,21,HA021,143,14,FB011,156,10,HA041,170,8,FB021,191,5,PB011,217,1,PS023,218,1,HL023,,,Sink
U613 E32S,79,1,HF010,87,1,HF020,101,1,HF031,120,6,HA011,129,12,HA031,137,18,HA021,149,2,FB011,154,11,HA041,169,7,FB021,183,6,PB011,219,1,PS023,220,1,HL023,,,Sink
U612 S17P,79,1,HF010,87,1,HF020,101,1,HF031,115,13,HA011,127,23,HA031,148,8,HA021,154,2,FB011,157,10,HA041,171,4,FB021,186,8,PB011,204,1,PS023,205,1,HL023,,,Sink
U611 F91C,80,1,HF010,88,1,HF020,102,1,HF031,128,8,HA021,140,4,FB021,150,5,PB011,172,1,HL023,,,Sink,,,,,,,,,,,,,,,
U612 S17S,80,1,HF010,88,1,HF020,102,1,HF031,120,13,HA011,130,23,HA031,151,10,HA021,157,2,FB011,162,10,HA041,176,4,FB021,190,8,PB011,206,1,PS023,207,1,HL023,,,Sink
U613 A21S,84,1,HF010,91,1,HF020,105,1,HF031,116,10,HA011,133,14,HA031,140,24,HA021,155,2,FB011,158,12,HA041,176,4,FB021,184,1,HL011,,,Sink,,,,,,
U611 L16C,84,1,HF010,91,1,HF020,105,1,HF031,120,6,HA021,129,8,HA041,141,2,FB021,162,2,PS023,164,1,HL023,,,Sink,,,,,,,,,,,,
U613 A11C,84,1,HF010,91,1,HF020,105,1,HF031,120,6,HA021,129,32,HA041,177,4,FB021,190,5,PB011,214,1,HL023,,,Sink,,,,,,,,,,,,
U613 A21P,84,1,HF010,91,1,HF020,105,1,HF031,114,10,HA011,129,14,HA031,136,24,HA021,151,2,FB011,156,12,HA041,172,4,FB021,184,1,HL011,,,Sink,,,,,,
U611 D16P,85,1,HF010,92,1,HF020,106,1,HF031,134,5,HA021,143,1,FB011,149,8,HA041,161,4,FB021,169,6,PB011,183,1,PS023,184,1,HL023,,,Sink,,,,,,
U611 D16S,85,1,HF010,92,1,HF020,106,1,HF031,121,6,HA011,130,7,HA031,141,1,FB011,148,8,HA041,158,4,FB021,168,6,PB011,183,1,PS023,184,1,HL023,,,Sink,,,
U612 F41S,85,1,HF010,92,1,HF020,106,1,HF031,126,15,HA011,140,18,HA031,149,11,HA021,156,2,FB011,161,16,HA041,184,5,FB021,196,6,PB011,206,1,PS023,207,1,HL023,,,Sink
U612 T15S,85,1,HF010,92,1,HF020,106,1,HF031,157,6,HA021,168,8,HA041,179,3,FB021,192,1,PS023,,,Sink,,,,,,,,,,,,,,,
U612 S18P,85,1,HF010,92,1,HF020,106,1,HF031,121,13,HA011,134,12,HA031,141,12,HA021,149,1,FB011,151,13,HA041,170,4,FB021,183,8,PB011,200,1,PS023,203,1,HL023,,,Sink
U611 L17C,85,1,HF010,92,1,HF020,106,1,HF031,121,6,HA021,130,8,HA041,143,2,FB021,162,2,PS023,164,1,HL023,,,Sink,,,,,,,,,,,,
U612 F41P,85,1,HF010,92,1,HF020,106,1,HF031,119,15,HA011,130,17,HA031,140,9,HA021,148,2,FB011,151,16,HA041,175,5,FB021,186,6,PB011,206,1,PS023,207,1,HL023,,,Sink
U612 S12S,86,1,HF010,93,1,HF020,107,1,HF031,120,13,HA011,134,10,HA031,140,5,HA021,150,9,HA041,163,4,FB021,176,7,PB011,193,1,PS023,196,1,HL023,,,Sink,,,
U613 S13S,86,1,HF010,93,1,HF020,107,1,HF031,126,13,HA011,136,24,HA031,156,5,HA021,168,10,HA041,183,4,FB021,199,7,PB011,218,1,PS023,219,1,HL023,,,Sink,,,
U611 D17P,86,1,HF010,93,1,HF020,107,1,HF031,126,4,HA011,134,7,HA031,148,1,FB011,150,8,HA041,162,4,FB021,170,6,PB011,183,1,PS023,184,1,HL023,,,Sink,,,
U613 B12S,86,1,HF010,93,1,HF020,107,1,HF031,126,5,HA011,134,8,HA031,143,3,HA021,150,10,HA041,164,3,FB021,169,1,HL011,,,Sink,,,,,,,,,
U613 B12P,86,1,HF010,93,1,HF020,107,1,HF031,123,5,HA011,133,8,HA031,137,5,HA021,149,10,HA041,163,3,FB021,169,1,HL011,,,Sink,,,,,,,,,
U613 S19P,86,1,HF010,93,1,HF020,107,1,HF031,122,13,HA011,135,13,HA031,143,9,HA021,149,2,FB011,154,13,HA041,171,4,FB021,182,8,PB011,197,1,PS023,198,1,HL023,,,Sink
U613 S19S,86,1,HF010,93,1,HF020,107,1,HF031,122,13,HA011,133,15,HA031,140,8,HA021,144,6,FB011,150,13,HA041,169,4,FB021,176,8,PB011,192,1,PS023,193,1,HL023,,,Sink
U611 D17S,86,1,HF010,93,1,HF020,107,1,HF031,122,5,HA011,133,7,HA031,144,1,FB011,149,8,HA041,161,4,FB021,169,6,PB011,183,1,PS023,184,1,HL023,,,Sink,,,
U612 S12P,86,1,HF010,93,1,HF020,107,1,HF031,119,13,HA011,133,10,HA031,137,5,HA021,149,9,HA041,162,4,FB021,171,7,PB011,192,1,PS023,193,1,HL023,,,Sink,,,
U611 F71C,86,1,HF010,93,1,HF020,107,1,HF031,133,12,HA021,161,5,PB011,172,1,HL023,,,Sink,,,,,,,,,,,,,,,,,,
U611 D91P,87,1,HF010,94,1,HF020,108,1,HF031,134,10,HA021,150,4,FB021,164,6,PB011,177,1,HL023,,,Sink,,,,,,,,,,,,,,,
U613 E52S,87,1,HF010,94,1,HF020,108,1,HF031,123,12,HA011,140,12,HA031,150,14,HA021,158,2,FB011,163,10,HA041,177,8,FB021,197,6,PB011,217,1,PS023,218,1,HL023,,,Sink
U613 F21P,87,1,HF010,94,1,HF020,108,1,HF031,122,12,HA011,134,13,HA031,144,10,HA021,150,3,FB011,155,12,HA041,171,2,FB021,179,1,HL011,263,1,PS023,,,Sink,,,
U613 F21S,87,1,HF010,94,1,HF020,108,1,HF031,123,12,HA011,135,15,HA031,148,7,HA021,151,5,FB011,156,12,HA041,172,2,FB021,179,1,HL011,,,Sink,,,,,,
U613 S13P,87,1,HF010,94,1,HF020,108,1,HF031,123,13,HA011,134,24,HA031,154,5,HA021,164,10,HA041,182,4,FB021,193,8,PB011,214,1,PS023,217,1,HL023,,,Sink,,,
U611 D91S,87,1,HF010,94,1,HF020,108,1,HF031,134,10,HA021,150,4,FB021,164,6,PB011,177,1,HL023,,,Sink,,,,,,,,,,,,,,,
U612 H31C,87,1,HF010,94,1,HF020,108,1,HF031,122,5,HA031,129,15,FB021,154,9,PB011,165,1,HL023,,,Sink,,,,,,,,,,,,,,,
U613 E51S,88,1,HF010,95,1,HF020,109,1,HF031,126,14,HA011,143,9,HA031,148,14,HA021,155,4,FB011,161,14,HA041,182,8,FB021,196,6,PB011,217,1,PS023,218,1,HL023,,,Sink
U613 E52P,88,1,HF010,95,1,HF020,109,1,HF031,120,12,HA011,135,12,HA031,144,17,HA021,155,2,FB011,158,10,HA041,172,7,FB021,193,6,PB011,217,1,PS023,218,1,HL023,,,Sink
U613 F31P,88,1,HF010,95,1,HF020,109,1,HF031,126,6,HA011,135,10,HA031,143,14,HA021,151,5,FB011,156,12,HA041,172,4,FB021,184,1,HL011,266,1,PS023,,,Sink,,,
U613 F31S,88,1,HF010,95,1,HF020,109,1,HF031,127,6,HA011,136,10,HA031,143,15,HA021,154,2,FB011,157,12,HA041,175,4,FB021,184,1,HL011,,,Sink,,,,,,
U613 S14P,88,1,HF010,95,1,HF020,109,1,HF031,123,13,HA011,135,23,HA031,155,5,HA021,165,10,HA041,182,4,FB021,196,8,PB011,218,1,PS023,219,1,HL023,,,Sink,,,
U612 S18S,91,1,HF010,98,1,HF020,112,1,HF031,127,13,HA011,136,16,HA031,144,10,HA021,150,3,FB011,155,13,HA041,172,4,FB021,182,8,PB011,203,1,PS023,204,1,HL023,,,Sink
U613 S14S,91,1,HF010,98,1,HF020,112,1,HF031,128,13,HA011,140,25,HA031,158,5,HA021,170,10,HA041,185,5,FB021,199,8,PB011,220,1,PS023,221,1,HL023,,,Sink,,,
U613 E51P,91,1,HF010,98,1,HF020,112,1,HF031,119,14,HA011,137,8,HA031,141,16,HA021,150,4,FB011,156,14,HA041,176,7,FB021,191,6,PB011,217,1,PS023,218,1,HL023,,,Sink
U613 S15P,91,1,HF010,98,1,HF020,112,1,HF031,126,13,HA011,136,24,HA031,156,11,HA021,161,3,FB011,168,10,HA041,183,4,FB021,198,7,PB011,218,1,PS023,219,1,HL023,,,Sink
U613 B51P,91,1,HF010,98,1,HF020,112,1,HF031,127,6,HA011,136,14,HA031,154,8,HA021,158,2,FB011,163,11,HA041,179,4,FB021,193,7,PB011,212,1,HL023,,,Sink,,,
U613 E21S,91,1,HF010,98,1,HF020,112,1,HF031,126,13,HA011,140,15,HA031,150,14,HA021,158,2,FB011,163,10,HA041,177,6,FB021,190,6,PB011,212,1,PS023,214,1,HL023,,,Sink
U613 E21P,91,1,HF010,98,1,HF020,112,1,HF031,122,13,HA011,136,16,HA031,148,14,HA021,156,2,FB011,161,10,HA041,175,5,FB021,186,6,PB011,212,1,PS023,214,1,HL023,,,Sink
U613 B51S,91,1,HF010,98,1,HF020,112,1,HF031,133,6,HA011,144,14,HA031,161,8,HA021,165,2,FB011,170,11,HA041,186,4,FB021,196,7,PB011,212,1,HL023,,,Sink,,,
U612 S19P,91,1,HF010,98,1,HF020,112,1,HF031,127,13,HA011,140,12,HA031,149,6,HA021,154,2,FB011,157,13,HA041,176,4,FB021,185,8,PB011,200,1,PS023,203,1,HL023,,,Sink
U613 B58P,91,1,HF010,98,1,HF020,112,1,HF031,133,6,HA011,144,14,HA031,158,12,HA021,165,2,FB011,170,14,HA041,191,4,FB021,199,7,PB011,220,1,HL034,,,Sink,,,
U613 B14S,92,1,HF010,99,1,HF020,113,1,HF031,130,5,HA011,140,8,HA031,150,3,HA021,156,9,HA041,169,3,FB021,175,1,HL011,,,Sink,,,,,,,,,
U613 B14P,92,1,HF010,99,1,HF020,113,1,HF031,129,5,HA011,137,8,HA031,144,5,HA021,155,9,HA041,168,3,FB021,175,1,HL011,,,Sink,,,,,,,,,
U613 E13C,92,1,HF010,99,1,HF020,113,1,HF031,129,5,HA021,137,14,HA041,162,2,FB021,164,1,HL011,,,Sink,,,,,,,,,,,,,,,
U613 F33C,92,1,HF010,99,1,HF020,113,1,HF031,137,10,HA031,144,17,HA021,155,2,FB011,158,13,HA041,177,4,FB021,184,1,HL011,,,Sink,,,,,,,,,
U613 S15S,92,1,HF010,99,1,HF020,113,1,HF031,129,13,HA011,141,25,HA031,161,9,HA021,164,3,FB011,171,10,HA041,186,5,FB021,200,8,PB011,220,1,PS023,221,1,HL023,,,Sink
U611 D18P,92,1,HF010,99,1,HF020,113,1,HF031,134,4,HA011,141,7,HA031,155,1,FB011,157,8,HA041,169,4,FB021,184,6,PB011,204,1,PS023,205,1,HL023,,,Sink,,,
U613 S11S,93,1,HF010,100,1,HF020,114,1,HF031,133,7,HA011,144,8,HA031,151,10,HA021,157,2,FB011,162,13,HA041,183,4,FB021,196,8,PB011,211,1,PS023,212,1,HL023,,,Sink
U613 S11P,93,1,HF010,100,1,HF020,114,1,HF031,128,7,HA011,140,8,HA031,149,7,HA021,154,3,FB011,157,13,HA041,177,4,FB021,193,7,PB011,211,1,PS023,212,1,HL023,,,Sink
U611 D18S,93,1,HF010,100,1,HF020,114,1,HF031,133,4,HA011,140,7,HA031,151,1,FB011,156,8,HA041,168,4,FB021,183,6,PB011,204,1,PS023,205,1,HL023,,,Sink,,,
U613 S16P,94,1,HF010,101,1,HF020,115,1,HF031,129,13,HA011,141,25,HA031,162,8,HA021,168,2,FB011,171,10,HA041,186,4,FB021,199,8,PB011,219,1,PS023,220,1,HL023,,,Sink
U613 B15P,94,1,HF010,101,1,HF020,115,1,HF031,133,5,HA011,141,8,HA031,149,10,HA021,157,9,HA041,170,3,FB021,176,1,HL011,,,Sink,,,,,,,,,
U613 B15S,94,1,HF010,101,1,HF020,115,1,HF031,134,5,HA011,143,8,HA031,154,3,HA021,158,9,HA041,171,3,FB021,176,1,HL011,,,Sink,,,,,,,,,
U613 B16P,94,1,HF010,101,1,HF020,115,1,HF031,133,5,HA011,141,8,HA031,149,5,HA021,157,9,HA041,170,2,FB021,177,1,HL011,,,Sink,,,,,,,,,
U611 D19P,94,1,HF010,101,1,HF020,115,1,HF031,144,5,HA021,156,1,FB011,158,8,HA041,170,4,FB021,191,6,PB011,204,1,PS023,205,1,HL023,,,Sink,,,,,,
U611 D19S,94,1,HF010,101,1,HF020,115,1,HF031,133,5,HA011,141,7,HA031,155,1,FB011,157,8,HA041,169,4,FB021,189,6,PB011,204,1,PS023,205,1,HL023,,,Sink,,,
U613 B16S,94,1,HF010,101,1,HF020,115,1,HF031,134,5,HA011,143,8,HA031,154,3,HA021,158,9,HA041,171,3,FB021,177,1,HL011,,,Sink,,,,,,,,,
U613 B59P,94,1,HF010,101,1,HF020,115,1,HF031,135,6,HA011,148,12,HA031,158,11,HA021,164,3,FB011,169,14,HA041,190,3,FB021,200,7,PB011,220,1,HL034,,,Sink,,,
U613 B58S,94,1,HF010,101,1,HF020,115,1,HF031,130,6,HA011,141,14,HA031,156,12,HA021,163,2,FB011,168,14,HA041,189,4,FB021,197,7,PB011,218,1,HL034,,,Sink,,,
U613 H21C,95,1,HF010,102,1,HF020,116,1,HF031,130,4,HA031,130,9,HA011,136,4,HA041,143,8,FB021,157,1,HL023,,,Sink,,,,,,,,,,,,
U613 H22C,95,1,HF010,102,1,HF020,116,1,HF031,130,4,HA031,130,10,HA011,136,4,HA041,143,8,FB021,157,1,HL023,,,Sink,,,,,,,,,,,,
U613 H23C,95,1,HF010,102,1,HF020,116,1,HF031,130,4,HA031,130,10,HA011,136,4,HA041,143,8,FB021,157,1,HL023,,,Sink,,,,,,,,,,,,
U612 S19S,95,1,HF010,102,1,HF020,116,1,HF031,133,13,HA011,143,16,HA031,151,9,HA021,156,3,FB011,161,13,HA041,179,4,FB021,186,8,PB011,203,1,PS023,204,1,HL023,,,Sink
U612 B58P,95,1,HF010,102,1,HF020,116,1,HF031,137,6,HA011,151,14,HA031,164,12,HA021,171,2,FB011,176,14,HA041,197,4,FB021,206,7,PB011,226,1,HL034,,,Sink,,,
U613 S16S,95,1,HF010,102,1,HF020,116,1,HF031,134,13,HA011,148,23,HA031,165,10,HA021,171,2,FB011,176,10,HA041,191,4,FB021,204,8,PB011,221,1,PS023,224,1,HL023,,,Sink
U611 F32C,95,1,HF010,102,1,HF020,116,1,HF031,130,6,HA021,143,20,HA041,177,7,PB011,197,1,HL034,,,Sink,,,,,,,,,,,,,,,
U613 S17P,95,1,HF010,102,1,HF020,116,1,HF031,130,13,HA011,143,24,HA031,163,10,HA021,169,2,FB011,172,10,HA041,189,4,FB021,203,8,PB011,219,1,PS023,220,1,HL023,,,Sink
U613 B52S,98,1,HF010,105,1,HF020,119,1,HF031,140,6,HA011,151,12,HA031,162,11,HA021,169,2,FB011,172,14,HA041,193,3,FB021,200,7,PB011,219,1,HL023,,,Sink,,,
U613 B52P,98,1,HF010,105,1,HF020,119,1,HF031,134,6,HA011,144,12,HA031,156,11,HA021,163,2,FB011,168,14,HA041,189,3,FB021,197,7,PB011,217,1,HL023,,,Sink,,,
U612 B58S,98,1,HF010,105,1,HF020,119,1,HF031,134,6,HA011,144,14,HA031,158,12,HA021,165,2,FB011,170,14,HA041,191,4,FB021,203,7,PB011,225,1,HL034,,,Sink,,,
U613 S17S,98,1,HF010,105,1,HF020,119,1,HF031,135,13,HA011,149,23,HA031,168,8,HA021,172,2,FB011,177,10,HA041,192,4,FB021,205,8,PB011,221,1,PS023,224,1,HL023,,,Sink
U612 F21S,98,1,HF010,105,1,HF020,119,1,HF031,134,12,HA011,148,13,HA031,157,9,HA021,162,3,FB011,165,12,HA041,184,2,FB021,190,1,HL011,,,Sink,,,,,,
U612 F21P,98,1,HF010,105,1,HF020,119,1,HF031,133,12,HA011,144,16,HA031,156,7,HA021,161,3,FB011,164,12,HA041,183,2,FB021,190,1,HL011,227,1,PS023,,,Sink,,,
U613 B17S,98,1,HF010,105,1,HF020,119,1,HF031,136,5,HA011,148,8,HA031,156,3,HA021,162,9,HA041,175,3,FB021,179,1,HL011,,,Sink,,,,,,,,,
U613 B17P,98,1,HF010,105,1,HF020,119,1,HF031,135,5,HA011,144,8,HA031,151,5,HA021,161,9,HA041,172,3,FB021,179,1,HL011,,,Sink,,,,,,,,,
U612 F31S,99,1,HF010,106,1,HF020,120,1,HF031,136,6,HA011,149,10,HA031,155,14,HA021,163,2,FB011,168,12,HA041,185,4,FB021,193,1,HL011,,,Sink,,,,,,
U612 F31P,99,1,HF010,106,1,HF020,120,1,HF031,135,6,HA011,148,10,HA031,155,13,HA021,162,3,FB011,165,12,HA041,184,4,FB021,193,1,HL011,228,1,PS023,,,Sink,,,
U613 B18P,99,1,HF010,106,1,HF020,120,1,HF031,144,5,HA011,155,8,HA031,161,5,HA021,169,9,HA041,183,3,FB021,189,1,HL011,,,Sink,,,,,,,,,
U613 B59S,99,1,HF010,106,1,HF020,120,1,HF031,135,6,HA011,148,12,HA031,161,7,HA021,169,14,HA041,190,3,FB021,197,7,PB011,218,1,HL034,,,Sink,,,,,,
U613 E23S,99,1,HF010,106,1,HF020,120,1,HF031,134,5,HA021,150,8,HA041,162,2,FB021,164,1,HL011,,,Sink,,,,,,,,,,,,,,,
U613 F11C,99,1,HF010,106,1,HF020,120,1,HF031,136,5,HA011,148,7,HA031,149,14,HA021,157,2,FB011,162,16,HA041,185,4,FB021,196,7,PB011,218,1,PS023,219,1,HL034,,,Sink
U612 T11S,100,1,HF010,107,1,HF020,121,1,HF031,137,6,HA021,150,8,HA041,162,3,FB021,170,4,FB031,185,1,PS023,186,1,HL023,,,Sink,,,,,,,,,
U612 T11P,100,1,HF010,107,1,HF020,121,1,HF031,136,6,HA021,149,8,HA041,161,3,FB021,169,3,FB031,185,1,PS023,186,1,HL023,,,Sink,,,,,,,,,
U612 T12S,100,1,HF010,107,1,HF020,121,1,HF031,140,6,HA021,151,8,HA041,164,3,FB021,189,1,PS023,190,1,HL023,,,Sink,,,,,,,,,,,,
